aX,aY,aZ,gX,gY,gZ
0.394,0.542,1.528,-13.916,4.639,-33.691
0.257,0.282,1.725,-6.897,-9.583,-52.917
0.019,0.002,1.975,-5.432,-20.142,-69.519
-0.201,-0.199,2.199,-10.803,-20.752,-80.688
-0.309,-0.335,2.089,-32.898,-2.197,-87.402
-0.332,-0.463,1.841,-57.251,22.949,-90.027
-0.333,-0.618,1.635,-68.665,32.532,-85.083
-0.322,-0.833,1.561,-77.454,28.381,-71.655
-0.327,-0.984,1.586,-87.463,19.653,-50.110
-0.359,-0.951,1.780,-97.778,6.897,-19.531
-0.359,-0.802,1.889,-108.093,3.906,8.423
-0.287,-0.638,1.801,-107.178,14.404,25.085
-0.215,-0.538,1.698,-97.595,21.667,27.710
-0.112,-0.605,1.573,-92.285,23.865,18.799
-0.021,-0.665,1.509,-92.285,21.851,8.728
-0.004,-0.749,1.422,-91.248,20.874,0.427
0.033,-0.723,1.270,-89.478,23.804,-3.906
0.103,-0.745,1.067,-95.703,26.917,-11.536
0.191,-0.818,0.892,-100.891,22.339,-23.071
0.249,-0.932,0.912,-99.487,4.517,-30.762
0.201,-1.006,1.042,-88.562,-16.357,-26.978
0.127,-0.974,1.128,-85.999,-25.940,-14.893
0.044,-0.960,1.053,-70.923,-20.264,-4.517
-0.002,-0.919,0.911,-42.114,-10.376,1.465
0.004,-0.853,0.773,-15.137,-6.226,4.150
0.018,-0.780,0.675,0.549,-2.808,3.723
0.014,-0.769,0.505,16.907,3.906,1.526
0.074,-0.743,0.367,41.260,8.301,1.709
0.073,-0.671,0.230,64.880,8.362,5.005
0.104,-0.581,0.137,75.134,6.592,7.385
0.249,-0.219,0.250,110.413,3.723,12.024
0.169,-0.162,0.118,227.844,9.521,7.568
0.073,-0.158,-0.190,258.118,31.189,-7.874
-0.016,-0.153,-0.550,245.056,37.720,-11.597
-0.067,-0.111,-0.764,196.350,21.973,-13.550
-0.065,0.125,-0.676,101.318,-7.629,-9.583
-0.045,0.390,-0.382,60.059,-38.391,-6.042
0.123,0.417,-0.330,85.083,-40.466,-20.447
0.119,0.402,-0.409,83.923,-27.344,-34.851
0.149,0.385,-0.376,43.518,-31.311,-40.894
0.181,0.317,-0.232,22.034,-43.945,-44.922
0.228,0.362,0.032,17.639,-52.429,-39.429
0.278,0.369,0.098,54.077,-46.631,-31.433
0.325,0.491,0.067,85.876,-40.649,-18.921
0.282,0.689,0.084,106.262,-33.569,-11.963
0.225,0.814,0.209,134.766,-27.527,-22.461
0.300,0.849,0.275,129.395,-14.771,-46.082
0.332,0.743,0.369,96.436,-7.812,-77.759
0.395,0.492,0.444,67.200,-1.221,-111.633
0.463,0.159,0.575,36.560,1.831,-136.475
0.466,-0.100,0.746,5.920,-0.916,-141.052
0.403,-0.243,0.936,-22.461,-2.319,-126.343
0.448,-0.154,1.039,-37.109,5.981,-100.891
0.386,-0.076,1.153,-35.156,7.751,-80.017
0.273,0.006,1.203,-49.866,14.709,-59.387
0.276,0.133,1.165,-56.885,26.611,-38.391
0.291,0.240,1.105,-61.279,28.992,-25.024
0.269,0.329,1.131,-83.923,20.813,-18.738
0.289,0.433,1.194,-116.272,11.902,-16.357
0.328,0.544,1.287,-148.010,4.456,-15.930
0.459,0.663,1.331,-172.668,-3.235,-16.663
0.532,0.687,1.429,-184.021,-14.648,-20.325
0.567,0.602,1.560,-183.777,-29.053,-23.132
0.547,0.474,1.677,-195.679,-34.607,-20.752
0.495,0.416,1.765,-221.191,-25.757,-7.385
0.422,0.434,1.766,-220.947,-5.554,15.564
0.373,0.606,2.064,-182.556,26.123,39.551
0.251,0.436,1.486,-63.293,73.730,57.678
0.225,0.540,1.081,-60.669,102.600,79.285
0.110,0.690,1.048,-34.790,93.445,93.567
0.015,0.811,1.096,-22.705,75.562,94.788
0.013,0.806,1.085,-25.818,60.913,83.740
0.012,0.699,1.180,-10.010,40.527,67.200
-0.043,0.555,1.359,10.376,15.869,53.284
-0.045,0.385,1.521,12.146,-4.822,40.771
-0.052,0.204,1.706,7.141,-17.517,29.480
-0.050,0.017,1.781,6.836,-21.606,24.780
-0.048,-0.106,1.782,7.629,-19.653,28.870
-0.009,-0.096,1.683,3.052,-12.878,39.673
-0.002,-0.021,1.518,-3.174,-6.531,48.462
-0.041,0.003,1.378,-4.028,-4.456,49.133
-0.060,-0.045,1.219,-1.465,-4.883,44.128
-0.073,-0.114,1.084,1.709,-9.766,37.659
-0.092,-0.159,1.023,7.385,-19.531,31.311
-0.121,-0.149,1.028,15.076,-29.663,23.254
-0.182,-0.270,1.061,19.775,-37.537,8.362
-0.226,-0.385,1.156,23.071,-44.434,-3.601
-0.239,-0.458,1.249,21.667,-44.373,-7.935
-0.229,-0.535,1.286,13.855,-34.363,-7.568
-0.201,-0.500,1.279,3.906,-18.311,-0.366
-0.161,-0.370,1.191,-7.324,-0.488,9.216
-0.123,-0.254,1.054,-9.399,15.869,12.939
-0.057,-0.197,0.905,-4.822,26.123,11.536
0.008,-0.148,0.797,0.183,28.320,8.789
0.047,-0.106,0.745,2.625,24.353,6.775
0.084,-0.066,0.701,5.920,18.005,4.822
0.110,-0.012,0.655,9.460,9.766,3.601
0.100,0.033,0.689,13.245,-1.099,2.014
0.092,0.067,0.779,16.785,-10.864,-1.221
0.102,0.078,0.881,21.729,-18.250,-5.310
0.112,0.063,0.965,26.428,-21.790,-9.155
0.124,0.043,1.009,27.466,-21.790,-10.681
0.134,0.036,1.038,25.757,-19.836,-9.521
0.138,0.066,1.054,21.729,-16.418,-6.531
0.131,0.083,1.052,17.700,-12.512,-4.150
0.108,0.073,1.064,14.648,-8.240,-2.625
0.094,0.101,1.083,9.399,-3.235,-0.366
0.081,0.111,1.070,4.639,2.380,0.732
0.079,0.121,1.020,0.305,7.996,1.343
0.078,0.117,0.922,-5.981,12.634,1.465
0.070,0.109,0.863,-5.432,11.963,1.343
0.068,0.122,0.911,-3.174,6.042,2.014
0.057,0.121,0.912,3.174,0.366,2.625
0.064,0.118,0.906,4.639,-2.686,2.991
0.061,0.104,0.878,9.521,-5.920,3.601
0.062,0.103,0.920,12.146,-10.925,4.883
0.052,0.118,0.988,20.325,-15.869,7.019
0.029,0.136,1.010,24.231,-16.418,9.766
0.012,0.163,1.003,21.729,-14.221,10.132

-0.345,-0.714,1.978,20.996,-10.376,-17.639
-0.382,-0.736,2.032,-4.700,12.756,-5.127
-0.360,-0.757,1.874,-28.381,40.894,4.456
-0.260,-0.738,1.585,-46.570,62.988,13.367
-0.158,-0.630,1.412,-52.124,62.988,21.851
-0.113,-0.564,1.384,-48.035,46.326,22.400
-0.044,-0.571,1.439,-48.096,26.733,14.221
0.035,-0.634,1.474,-51.575,12.207,4.272
0.088,-0.708,1.526,-54.199,0.732,-1.404
0.123,-0.766,1.615,-57.617,-5.493,-2.869
0.127,-0.830,1.621,-67.078,-2.502,-2.075
0.122,-0.884,1.515,-77.637,5.615,1.282
0.128,-0.815,1.371,-84.473,12.451,7.019
0.083,-0.733,1.129,-85.632,14.343,6.958
0.077,-0.731,0.976,-85.205,5.859,-1.953
0.064,-0.806,0.922,-79.285,-6.042,-13.306
0.078,-0.823,0.804,-74.768,-13.123,-21.179
0.116,-0.766,0.801,-83.069,-25.635,-24.048
0.123,-0.732,0.848,-82.092,-36.377,-28.137
0.126,-0.707,0.870,-85.876,-42.480,-33.386
0.121,-0.721,0.892,-85.571,-44.495,-39.551
0.128,-0.757,0.853,-77.637,-39.307,-44.861
0.109,-0.812,0.738,-63.354,-28.503,-47.058
0.096,-0.823,0.564,-46.997,-16.846,-44.312
0.064,-0.742,0.405,-34.912,-11.658,-36.987
0.061,-0.697,0.301,-12.146,-13.794,-31.921
0.120,-0.655,0.254,15.320,-16.663,-27.649
0.171,-0.581,0.187,39.307,-15.137,-20.447
0.220,-0.493,0.067,60.364,-10.376,-12.939
0.217,-0.393,-0.114,69.275,-2.136,-7.019
0.161,-0.314,-0.330,78.552,4.822,-1.892
0.130,-0.202,-0.343,68.176,1.892,3.235
0.146,-0.040,-0.277,22.644,-3.906,4.395
0.167,0.052,-0.209,-9.583,-10.620,-1.099
0.174,0.066,-0.169,-21.851,-12.695,-12.146
0.193,0.074,-0.159,-25.818,-13.611,-21.851
0.272,0.214,-0.117,-15.015,-14.282,-28.870
0.244,0.331,-0.122,4.150,-13.245,-38.879
0.233,0.289,-0.173,15.076,-11.963,-54.932
0.261,0.229,-0.263,23.010,-13.306,-67.200
0.254,0.247,-0.266,30.579,-20.569,-72.388
0.246,0.302,-0.131,33.691,-31.494,-76.050
0.246,0.235,0.053,37.598,-38.208,-83.008
0.263,0.138,0.142,42.297,-35.339,-86.914
0.272,0.126,0.226,45.593,-27.588,-82.703
0.285,0.182,0.281,47.607,-16.785,-72.998
0.252,0.212,0.461,46.631,-10.803,-63.293
0.232,0.220,0.675,42.786,-0.916,-56.396
0.374,0.211,0.784,34.241,17.212,-50.232
0.382,0.170,0.789,22.766,37.170,-37.354
0.340,0.309,0.766,18.311,57.068,-16.113
0.308,0.522,0.722,22.217,75.806,0.122
0.225,0.689,0.727,28.442,84.106,5.310
0.296,0.856,0.813,33.875,80.811,-3.052
0.413,0.743,0.775,41.138,70.801,-20.142
0.302,0.621,0.918,38.818,42.175,-27.954
0.298,0.555,0.940,27.954,30.029,-25.391
0.333,0.300,0.760,-13.184,18.005,-17.578
0.413,0.195,0.753,-122.803,-8.789,-0.916
0.394,0.377,1.088,-233.215,-48.706,27.100
0.388,0.828,1.568,-296.997,-70.313,54.443
0.338,1.157,1.816,-270.142,-58.533,63.110
0.336,1.309,1.953,-210.144,-25.269,48.157
0.283,1.149,1.930,-75.562,13.000,23.010
0.276,0.683,1.459,11.414,55.481,4.639
0.307,0.553,1.242,-3.418,63.049,13.306
0.240,0.623,1.392,3.540,47.241,33.752
0.196,0.676,1.438,0.610,41.504,48.889
0.189,0.667,1.344,-1.343,43.396,55.725
0.170,0.633,1.316,3.357,38.025,58.228
0.143,0.587,1.369,9.583,26.489,59.143
0.112,0.508,1.413,15.015,17.578,59.204
0.072,0.418,1.430,22.217,13.428,58.228
0.035,0.324,1.479,34.180,10.986,54.565
0.004,0.242,1.522,38.391,9.705,50.354
0.028,0.147,1.475,27.893,10.681,45.715
0.081,0.047,1.386,17.273,13.489,42.480
0.111,-0.032,1.321,14.221,14.282,43.396
0.116,-0.069,1.248,16.052,11.414,49.194
0.091,-0.057,1.179,16.541,7.446,55.115
0.076,-0.033,1.087,19.165,1.770,56.824
0.027,-0.071,1.051,26.672,-10.620,53.284
-0.005,-0.147,1.027,31.677,-25.757,46.326
-0.029,-0.241,1.024,35.034,-41.199,39.734
-0.073,-0.321,1.042,40.466,-53.894,35.095
-0.080,-0.309,1.062,47.363,-60.852,31.738
-0.113,-0.295,1.032,56.580,-62.073,24.658
-0.156,-0.348,1.022,63.904,-62.256,13.367
-0.179,-0.407,1.049,63.171,-63.171,3.723
-0.181,-0.444,1.114,57.190,-61.157,-2.563
-0.154,-0.457,1.171,50.720,-54.321,-5.798
-0.136,-0.402,1.172,40.833,-43.213,-5.798
-0.107,-0.360,1.168,27.649,-31.433,-6.714
-0.079,-0.419,1.170,20.691,-20.020,-9.094
-0.018,-0.436,1.139,12.512,-4.211,-7.874
0.005,-0.356,1.086,1.831,9.460,0.427
0.032,-0.268,0.957,-3.601,20.996,9.094
0.030,-0.150,0.851,-6.287,26.611,14.160
0.025,-0.040,0.830,-6.409,22.034,13.733
0.023,0.012,0.882,-5.859,12.695,7.507
0.010,0.005,0.960,-3.052,4.517,-1.038
0.041,-0.013,0.992,-4.211,0.732,-7.202
0.062,-0.006,1.043,-4.700,-1.892,-9.827
0.060,0.000,1.087,-5.615,-2.747,-9.460
0.078,0.027,1.090,-11.047,0.732,-8.606
0.077,0.029,1.073,-13.794,4.578,-7.202
0.079,0.076,1.030,-13.428,6.104,-4.639
0.065,0.105,1.007,-13.123,6.470,-3.906
0.055,0.099,0.955,-11.841,6.836,-4.700
0.045,0.098,0.913,-12.451,6.104,-4.700
0.033,0.109,0.876,-9.949,3.418,-3.540
0.011,0.119,0.862,-6.775,-0.427,-2.930
0.001,0.134,0.861,-5.554,-5.249,-2.869
0.002,0.142,0.869,-3.540,-11.169,-3.296
0.008,0.118,0.875,0.977,-16.357,-4.822
0.029,0.073,0.919,4.456,-20.386,-4.822
0.062,0.067,0.958,4.822,-21.790,-1.404
0.085,0.100,0.975,4.944,-19.348,4.089
0.103,0.162,0.964,2.197,-15.808,8.057

-0.136,0.337,1.854,88.318,-39.795,-126.709
-0.186,0.046,1.709,76.111,-30.640,-137.329
-0.363,-0.124,1.560,44.006,-24.902,-136.719
-0.559,-0.384,1.612,82.214,-33.569,-137.268
-0.698,-0.635,1.752,118.713,-40.833,-135.498
-0.692,-0.811,1.788,109.863,-33.875,-127.197
-0.790,-1.026,1.729,85.022,-21.118,-122.437
-0.908,-1.126,1.791,53.528,-12.390,-111.694
-0.991,-1.196,1.736,27.710,5.127,-94.727
-1.032,-1.207,1.685,11.230,26.978,-78.186
-0.916,-1.128,1.664,-34.546,44.678,-65.918
-0.680,-1.083,1.454,-76.416,62.683,-63.293
-0.421,-1.130,1.267,-81.116,68.298,-70.007
-0.198,-1.303,1.159,-75.623,58.777,-79.956
-0.077,-1.430,1.168,-87.830,45.105,-84.961
-0.039,-1.557,1.115,-95.154,38.269,-79.834
-0.014,-1.583,1.068,-119.568,31.799,-64.636
-0.025,-1.574,0.979,-138.855,24.841,-43.518
-0.033,-1.454,0.800,-143.677,18.372,-19.287
-0.074,-1.254,0.599,-150.574,6.653,1.587
-0.066,-0.953,0.502,-144.409,-6.226,13.000
-0.037,-0.796,0.421,-135.315,-24.170,9.338
0.043,-0.659,0.339,-124.573,-37.842,-5.554
0.003,-0.608,0.288,-117.004,-44.739,-21.057
-0.011,-0.672,0.226,-98.145,-49.805,-33.447
-0.013,-0.623,0.251,-80.078,-52.246,-38.574
-0.071,-0.702,0.181,-73.242,-45.288,-41.260
-0.140,-0.821,0.226,-60.547,-39.001,-37.109
-0.152,-1.015,0.105,6.165,-30.640,-21.362
-0.076,-0.971,0.047,87.158,-21.118,12.695
0.020,-0.852,-0.125,154.236,-10.498,51.941
0.061,-0.606,-0.299,197.449,1.160,88.989
0.110,-0.390,-0.328,172.546,-3.357,118.347
-0.007,-0.013,-0.262,81.055,-12.756,135.437
0.295,-0.065,-0.304,147.400,-13.306,132.019
0.108,0.251,-0.151,92.651,-24.841,133.972
0.213,0.295,-0.018,28.320,-17.029,125.305
0.283,0.459,0.109,-26.611,-1.892,114.624
0.293,0.430,0.092,-49.316,14.709,104.187
0.224,0.445,0.020,-25.269,29.480,92.896
0.126,0.476,0.023,-21.606,35.828,87.219
0.031,0.471,-0.004,-7.996,39.124,86.731
-0.156,0.498,-0.042,2.197,45.776,87.646
-0.038,0.701,0.010,-9.583,41.138,89.966
0.074,0.819,0.156,-25.818,37.476,75.317
0.190,1.052,0.344,-63.538,48.767,46.387
0.196,1.216,0.301,-63.477,61.890,14.343
0.250,1.026,0.370,-56.458,60.669,-28.687
0.368,0.720,0.372,-40.100,54.626,-63.049
0.389,0.440,0.552,-28.137,37.231,-72.083
0.366,0.411,0.794,-44.861,27.039,-58.411
0.299,0.440,1.045,-50.842,20.752,-36.926
0.285,0.511,1.170,-49.683,31.982,-18.494
0.322,0.558,1.226,-46.082,49.683,-3.052
0.364,0.573,1.114,-33.569,64.148,10.315
0.433,0.595,0.967,-22.095,66.040,25.574
0.402,0.542,0.853,-23.132,51.575,40.771
0.339,0.585,0.850,-49.011,27.222,59.143
0.265,0.779,1.016,-97.351,1.831,74.951
0.176,0.953,1.210,-134.766,-8.423,76.904
0.140,0.995,1.427,-144.836,-14.160,68.787
0.143,0.980,1.543,-136.169,-12.329,54.749
0.085,0.881,1.586,-116.638,-7.751,40.283
0.039,0.761,1.613,-105.957,-7.812,29.480
0.007,0.637,1.630,-106.445,-9.949,21.667
-0.053,0.516,1.650,-123.108,-13.855,17.517
-0.088,0.437,1.720,-154.846,-18.738,18.311
-0.111,0.387,1.785,-177.246,-15.381,21.851
-0.110,0.346,1.728,-175.293,-2.808,26.611
-0.152,0.216,1.665,-161.072,12.878,28.687
-0.142,0.140,1.559,-119.324,25.940,35.522
-0.127,0.052,1.438,-87.341,29.602,47.485
-0.119,0.080,1.318,-95.032,31.555,56.946
-0.125,0.137,1.188,-116.821,25.208,68.420
-0.061,0.428,1.367,-137.451,10.132,75.378
-0.038,0.633,1.364,-120.728,1.465,69.092
