aX,aY,aZ,gX,gY,gZ
0.639,0.523,1.906,-96.069,3.967,-85.571
0.699,0.646,1.922,-82.031,-10.376,-92.957
0.759,0.756,1.950,-76.904,-23.560,-93.506
0.807,0.850,1.954,-82.458,-30.640,-89.722
0.801,0.921,1.893,-96.008,-30.579,-82.458
0.733,1.049,1.675,-106.750,-27.222,-72.144
0.631,1.231,1.396,-106.689,-26.306,-61.035
0.531,1.414,1.087,-108.887,-32.715,-54.504
0.555,1.570,0.888,-109.375,-48.096,-52.429
0.640,1.732,0.712,-102.295,-65.369,-52.246
0.746,1.759,0.627,-87.708,-82.947,-54.138
0.793,1.726,0.644,-80.627,-102.295,-54.626
0.769,1.679,0.680,-80.750,-114.990,-50.903
0.669,1.632,0.664,-80.505,-117.249,-45.410
0.596,1.638,0.606,-72.937,-116.089,-38.086
0.566,1.553,0.477,-42.847,-115.723,-36.011
0.545,1.490,0.340,-15.442,-113.159,-39.368
0.516,1.314,0.129,-5.676,-108.337,-43.945
0.449,1.141,-0.143,-17.700,-101.013,-40.405
0.455,1.012,-0.201,-48.096,-95.459,-18.799
0.407,1.094,-0.230,-51.697,-96.741,13.245
0.376,1.104,-0.186,-47.485,-99.792,37.109
0.369,0.986,-0.222,-37.231,-94.604,49.438
0.339,0.844,-0.243,-23.621,-83.069,60.852
0.331,0.761,-0.264,-24.414,-65.918,76.965
0.346,0.707,-0.267,-31.982,-45.654,92.407
0.322,0.636,-0.243,-26.855,-30.396,103.821
0.315,0.564,-0.247,-13.550,-16.602,110.596
0.294,0.456,-0.209,6.287,-10.010,111.267
0.307,0.411,-0.183,26.611,-9.399,109.863
0.322,0.345,-0.222,44.495,-9.033,106.079
0.326,0.254,-0.243,66.772,-10.742,99.915
0.331,0.190,-0.204,85.327,-14.282,95.642
0.318,0.083,-0.198,101.868,-16.541,91.858
0.301,-0.023,-0.195,112.671,-16.602,89.050
0.334,-0.099,-0.189,112.244,-13.977,90.881
0.329,-0.196,-0.130,108.154,-9.094,94.177
0.345,-0.317,-0.031,104.492,-4.578,101.135
0.343,-0.407,0.034,104.492,4.456,110.962
0.302,-0.511,0.039,110.046,15.686,118.652
0.231,-0.588,0.083,111.877,24.170,122.803
0.208,-0.612,0.124,110.413,29.907,125.305
0.202,-0.638,0.215,111.450,32.104,123.108
0.157,-0.735,0.349,113.892,29.785,114.563
0.102,-0.876,0.495,111.511,26.611,103.333
0.070,-0.944,0.641,107.178,23.743,97.412
0.016,-0.990,0.743,102.478,23.010,93.811
-0.039,-0.983,0.813,96.741,23.743,90.759
-0.069,-0.944,0.813,88.806,25.940,86.975
-0.094,-0.874,0.796,79.285,30.029,81.909
-0.059,-0.807,0.730,68.420,36.560,75.378
-0.066,-0.750,0.772,53.406,43.091,68.542
-0.079,-0.693,0.802,39.734,45.715,62.561
-0.123,-0.615,0.801,36.743,47.302,56.335
-0.160,-0.600,0.824,37.415,49.683,49.316
-0.163,-0.630,0.888,34.607,52.063,41.565
-0.194,-0.661,0.988,27.954,52.002,33.508
-0.237,-0.649,1.123,20.874,51.819,26.306
-0.281,-0.628,1.267,13.916,54.443,16.724
-0.316,-0.591,1.348,6.042,59.570,3.784
-0.304,-0.557,1.348,-4.761,68.420,-9.705
-0.212,-0.424,1.372,-20.508,79.895,-21.545
-0.116,-0.276,1.449,-32.532,87.891,-35.339
-0.065,-0.285,1.635,-29.114,87.036,-53.223
-0.068,-0.292,1.604,-22.339,90.271,-63.721
-0.025,-0.268,1.664,-39.185,103.088,-64.026
0.085,-0.107,1.538,-43.213,121.216,-61.829
0.111,0.060,1.373,-42.053,123.779,-69.092
0.285,0.134,1.333,-51.941,102.539,-86.365
0.310,0.147,1.360,-40.100,66.040,-101.624
0.264,0.097,1.310,-27.588,40.833,-110.413
0.235,0.131,1.346,-25.574,18.982,-110.840
0.197,0.172,1.441,-30.151,-5.066,-110.962
0.193,0.215,1.542,-36.133,-21.057,-111.694
0.196,0.234,1.572,-40.894,-26.367,-110.840
0.231,0.287,1.561,-51.331,-23.437,-106.018
0.280,0.356,1.530,-65.857,-15.015,-98.450
0.353,0.465,1.430,-80.933,-4.761,-88.928
0.391,0.587,1.313,-85.388,-0.427,-79.529
0.393,0.681,1.218,-77.759,-0.793,-73.547
0.370,0.725,1.118,-62.195,-3.540,-70.984
0.336,0.725,1.048,-46.814,-9.399,-68.970
0.302,0.729,1.017,-33.447,-17.578,-64.270
0.289,0.746,1.013,-22.034,-22.766,-58.594
0.287,0.738,0.995,-11.719,-23.743,-54.321
0.291,0.691,0.976,-3.967,-22.156,-49.927
0.298,0.639,0.980,-3.296,-19.470,-42.969
0.298,0.625,0.994,-6.836,-12.817,-32.715
0.295,0.604,0.986,-7.874,-4.089,-21.851
0.285,0.553,0.943,-10.132,3.967,-12.634
0.278,0.536,0.879,-14.038,9.460,-4.272
0.251,0.518,0.818,-10.620,9.766,1.587
0.209,0.459,0.779,-4.089,7.080,3.784
0.186,0.403,0.763,0.366,2.930,6.042
0.176,0.387,0.759,3.113,-1.526,10.376
0.165,0.365,0.741,5.981,-4.089,13.550
0.157,0.352,0.738,7.446,-6.042,14.709
0.144,0.326,0.783,7.629,-7.751,14.832
0.144,0.310,0.849,6.714,-8.667,14.709
0.149,0.289,0.881,3.662,-7.690,14.160
0.150,0.269,0.890,-0.427,-6.409,13.611
0.163,0.275,0.887,-6.714,-4.028,13.977
0.180,0.278,0.891,-11.902,-1.160,13.672
