aX,aY,aZ,gX,gY,gZ
-0.048,0.464,1.518,103.943,-170.837,21.545
0.066,0.248,1.652,134.277,-152.954,21.118
-0.206,0.060,1.715,145.264,-146.912,29.236
-0.412,0.112,1.915,132.141,-115.234,32.227
-0.625,-0.023,2.228,104.187,-98.877,32.532
-0.734,-0.068,2.364,70.374,-57.068,32.104
-0.791,-0.002,2.249,39.246,-7.263,23.071
-0.802,-0.028,2.158,12.756,18.860,3.418
-0.771,-0.024,2.093,-9.949,31.372,-13.245
-0.714,-0.007,2.008,-21.851,39.795,-23.926
-0.615,0.085,1.870,-28.442,47.363,-24.231
-0.551,0.039,1.776,-27.466,46.936,-22.156
-0.570,0.320,1.540,-25.085,44.006,-19.897
-0.563,0.141,1.516,-16.724,7.935,-25.208
-0.505,0.133,1.631,-24.170,-21.729,-22.156
-0.496,0.173,1.587,-25.635,-13.733,-14.160
-0.492,0.211,1.520,-23.193,1.221,-11.169
-0.453,0.199,1.528,-24.170,11.414,-13.306
-0.380,0.217,1.550,-24.963,17.944,-13.245
-0.375,0.247,1.536,-23.376,20.142,-12.085
-0.365,0.216,1.578,-22.278,17.883,-14.771
-0.373,0.217,1.668,-24.109,12.512,-11.292
-0.393,0.247,1.758,-28.015,7.141,-7.080
-0.344,0.255,1.865,-33.508,4.211,-8.057
-0.262,0.504,1.969,-39.612,13.672,-23.071
-0.266,0.582,1.859,-37.659,42.847,-74.585
-0.284,0.328,1.718,-38.269,51.331,-131.592
-0.291,-0.024,1.739,-55.359,37.598,-146.729
-0.218,-0.106,1.695,-71.533,27.527,-110.352
-0.232,-0.066,1.714,-76.050,26.428,-56.885
-0.077,0.099,1.598,-77.820,32.043,-9.460
-0.029,0.187,1.488,-79.163,49.072,8.850
-0.018,0.203,1.261,-69.214,80.505,3.052
-0.024,0.153,0.918,-54.382,103.394,-6.714
-0.002,0.040,0.566,-35.217,105.286,-11.719
0.019,-0.095,0.345,-27.283,86.060,-9.888
-0.017,-0.180,0.128,-25.208,65.247,0.732
-0.060,-0.143,-0.090,-17.456,49.438,17.944
-0.084,-0.034,-0.235,-8.911,31.494,33.264
-0.030,0.047,-0.253,-11.169,8.362,41.687
-0.024,0.122,-0.153,-21.057,-15.686,45.410
-0.082,0.150,-0.030,-31.677,-37.903,45.654
-0.139,0.097,0.070,-32.959,-55.847,41.809
-0.138,0.052,0.181,-35.950,-66.406,37.842
-0.125,0.044,0.247,-36.682,-67.993,36.682
-0.121,0.058,0.293,-34.973,-63.110,37.231
-0.116,0.066,0.328,-33.936,-53.406,35.950
-0.105,0.051,0.354,-29.297,-41.565,32.776
-0.085,0.049,0.376,-21.545,-29.785,32.715
-0.070,0.081,0.403,-11.353,-19.958,34.973
-0.063,0.150,0.450,4.211,-14.526,32.898
-0.044,0.253,0.542,9.705,-11.841,26.184
-0.052,0.253,0.632,10.559,-8.911,12.451
-0.067,0.178,0.684,17.761,-3.723,-1.709
-0.090,0.141,0.712,21.057,2.869,-7.812
-0.107,0.166,0.751,18.860,7.812,-9.888
-0.147,0.171,0.787,16.479,11.597,-12.451
-0.208,0.141,0.793,12.329,15.625,-14.648
-0.230,0.093,0.792,5.127,16.357,-13.000
-0.227,0.104,0.838,-3.296,11.719,-5.981
-0.216,0.196,0.896,-11.780,8.667,-1.465
-0.220,0.206,0.929,-11.475,9.460,-4.883
-0.231,0.184,0.917,-7.080,12.634,-10.315
-0.227,0.172,0.893,-2.808,14.282,-12.146
-0.232,0.194,0.906,-0.732,12.939,-11.353
-0.226,0.219,0.937,-0.854,11.353,-10.864
-0.233,0.225,0.972,-1.343,11.230,-11.902
-0.222,0.220,0.980,-1.770,11.780,-11.658
-0.211,0.232,0.991,-1.648,10.010,-8.728
-0.187,0.250,1.019,-1.282,7.263,-4.761
-0.177,0.280,1.072,-1.221,6.348,-2.747
-0.188,0.291,1.083,0.000,9.888,-3.540
-0.227,0.262,1.033,2.136,16.174,-5.737
-0.193,0.253,0.990,-1.282,20.447,-6.958
-0.161,0.259,0.990,-2.991,20.508,-7.080
-0.121,0.266,0.997,-2.625,19.226,-6.226
-0.111,0.281,0.994,-0.183,17.517,-5.249
-0.099,0.265,0.985,2.563,14.587,-4.333
-0.078,0.266,1.003,4.089,10.437,-2.930
-0.085,0.268,1.012,5.676,7.874,-1.587
-0.104,0.259,0.997,6.775,6.348,0.061
-0.102,0.239,1.007,6.104,4.639,1.831
-0.094,0.233,1.017,4.883,5.310,4.150
-0.109,0.242,1.003,4.395,9.155,6.958
-0.111,0.264,0.973,3.113,13.184,8.850
-0.129,0.271,0.949,3.784,14.160,8.240
-0.156,0.255,0.920,3.113,14.465,5.371
-0.159,0.237,0.895,0.732,11.963,3.601
-0.156,0.245,0.894,-4.822,7.812,3.235
-0.133,0.247,0.892,-8.606,3.906,3.052
-0.122,0.243,0.906,-8.667,-0.427,2.808
-0.121,0.246,0.915,-8.240,-2.380,2.014
-0.113,0.237,0.906,-6.714,-2.869,0.977
-0.107,0.233,0.906,-5.676,-3.174,0.793
-0.104,0.227,0.913,-5.188,-3.235,1.160
-0.096,0.220,0.927,-3.784,-3.113,1.465
-0.093,0.229,0.936,-1.221,-2.563,2.808
-0.094,0.232,0.946,0.977,-1.221,3.723
-0.102,0.235,0.954,2.197,0.488,3.723
-0.107,0.235,0.966,2.563,1.221,2.869
-0.103,0.225,0.967,1.831,2.136,1.404
-0.098,0.235,0.963,1.282,3.723,1.587
-0.101,0.242,0.961,1.709,4.211,1.953
-0.097,0.242,0.955,1.526,3.601,1.587
-0.091,0.240,0.957,1.099,2.625,1.099
-0.087,0.248,0.954,2.319,1.648,1.648
-0.093,0.254,0.944,3.418,0.793,2.441
-0.104,0.253,0.941,4.211,-0.793,2.502
-0.120,0.248,0.950,3.723,-2.747,2.136
-0.128,0.244,0.961,0.732,-3.479,1.526
-0.115,0.216,0.979,-0.854,-3.784,1.404
-0.141,0.233,1.008,-0.854,-2.686,4.639
-0.163,0.257,1.000,-0.671,0.488,6.226
-0.134,0.258,0.972,-1.770,1.709,3.113
-0.124,0.241,0.984,-3.845,-0.122,0.671
-0.118,0.241,0.998,-4.028,-1.892,0.977
-0.112,0.254,1.000,-1.648,-2.441,2.258
-0.107,0.255,0.993,0.854,-3.235,3.235
-0.108,0.259,0.999,3.540,-4.761,4.028

-0.207,0.233,2.079,54.993,-97.778,-4.822
-0.279,0.082,2.059,49.622,-60.669,-1.282
-0.298,0.185,1.733,36.072,-20.813,8.606
-0.386,0.129,1.854,14.954,-15.625,6.775
-0.386,0.161,1.687,1.160,6.165,9.583
-0.455,0.147,1.557,-5.310,20.752,9.155
-0.497,0.099,1.477,-8.667,22.827,5.127
-0.521,0.062,1.399,-10.681,20.142,0.061
-0.537,0.001,1.388,-9.583,15.686,-5.310
-0.522,-0.034,1.400,-6.775,13.672,-7.996
-0.479,-0.011,1.397,-1.831,11.108,-6.897
-0.460,0.013,1.430,3.357,4.028,-8.423
-0.409,-0.009,1.498,4.700,-3.296,-11.353
-0.368,0.015,1.535,3.540,-6.897,-9.949
-0.356,0.026,1.546,1.709,-7.568,-8.728
-0.346,0.001,1.554,-3.052,-6.226,-8.240
-0.328,0.017,1.558,-10.010,-3.113,-5.615
-0.321,0.023,1.559,-15.015,-0.671,-3.174
-0.326,0.030,1.604,-19.470,0.000,-2.502
-0.322,0.022,1.668,-23.193,-0.366,-2.258
-0.336,0.049,1.708,-26.794,0.793,-1.099
-0.321,0.061,1.715,-31.677,2.869,-1.343
-0.315,0.061,1.728,-36.499,3.906,-1.892
-0.301,0.134,1.700,-41.870,5.737,-1.709
-0.297,0.176,1.677,-51.392,6.470,-5.249
-0.269,0.072,1.676,-57.861,8.911,-13.489
-0.240,0.076,1.708,-62.744,17.639,-16.235
-0.202,0.084,1.703,-65.552,33.936,-17.212
-0.154,0.079,1.532,-63.965,58.960,-17.822
-0.124,0.022,1.286,-61.462,77.454,-17.822
-0.099,-0.001,1.084,-59.570,78.674,-13.306
-0.080,0.030,0.948,-55.481,66.650,-6.226
-0.062,0.055,0.797,-44.861,46.753,-0.854
-0.039,0.039,0.614,-35.950,19.592,2.014
-0.017,0.034,0.493,-29.236,-19.470,6.714
-0.075,-0.040,0.495,-31.921,-58.044,10.620
-0.078,-0.080,0.556,-47.119,-75.378,25.269
-0.089,0.013,0.511,-58.167,-74.890,45.776
-0.097,0.042,0.412,-54.504,-69.336,57.007
-0.098,0.052,0.312,-56.580,-64.209,64.148
-0.128,0.061,0.250,-59.387,-60.547,68.726
-0.165,0.028,0.167,-55.786,-53.833,72.021
-0.180,0.090,0.086,-41.992,-44.556,81.604
-0.190,0.220,-0.000,-33.936,-33.203,78.186
-0.207,0.224,-0.022,-21.729,-30.762,58.838
-0.215,0.205,0.045,-11.963,-36.316,39.917
-0.212,0.192,0.163,-2.625,-43.518,25.879
-0.233,0.208,0.273,8.972,-46.387,12.756
-0.258,0.127,0.358,17.029,-44.250,-0.122
-0.259,0.056,0.422,23.071,-38.940,-4.761
-0.252,0.054,0.471,26.917,-29.724,-3.723
-0.250,0.075,0.515,28.015,-18.799,-1.404
-0.251,0.071,0.556,26.062,-8.423,-0.549
-0.256,0.062,0.584,23.010,0.122,-0.183
-0.262,0.062,0.606,18.005,7.080,0.488
-0.269,0.064,0.642,11.780,13.245,0.549
-0.265,0.067,0.662,6.042,18.738,-0.366
-0.216,0.165,0.709,2.930,18.372,-2.136
-0.276,0.131,0.798,4.211,14.771,-11.353
-0.279,0.035,0.893,4.272,13.428,-18.188
-0.297,0.028,0.970,5.127,14.404,-14.709
-0.284,0.035,1.014,5.676,17.029,-6.775
-0.285,0.096,1.041,2.319,19.348,-1.892
-0.291,0.114,1.042,-2.441,21.973,-2.258
-0.297,0.117,1.044,-6.836,22.705,-4.700
-0.295,0.138,1.050,-11.047,21.667,-6.958
-0.290,0.156,1.021,-13.000,20.874,-8.240
-0.283,0.174,1.000,-14.099,19.287,-8.850
-0.281,0.172,0.993,-16.113,16.724,-9.949
-0.284,0.191,0.999,-18.127,13.855,-9.521
-0.288,0.208,0.994,-18.372,10.803,-8.545
-0.284,0.209,0.990,-16.968,7.690,-8.057
-0.282,0.225,0.997,-14.832,6.836,-6.958
-0.275,0.231,0.991,-10.254,7.263,-5.981
-0.270,0.229,0.981,-5.493,7.812,-5.066
-0.267,0.232,0.973,-1.587,7.874,-3.540
-0.278,0.224,0.979,1.587,6.775,-2.380
-0.284,0.214,0.990,3.113,5.676,-1.770
-0.289,0.207,0.987,3.357,5.737,-1.526
-0.290,0.200,0.967,3.906,6.287,-1.221
-0.283,0.205,0.943,3.357,5.249,-1.038
-0.276,0.206,0.941,2.930,2.625,-0.977
-0.266,0.205,0.942,2.686,0.549,-0.916
-0.264,0.206,0.939,3.540,-0.427,0.000
-0.277,0.196,0.920,3.906,-1.526,1.221
-0.279,0.191,0.926,1.770,-3.113,1.892
-0.285,0.186,0.948,-0.061,-4.761,2.075
-0.287,0.178,0.957,-0.916,-4.517,2.014
-0.288,0.173,0.954,-1.465,-3.296,2.075
-0.285,0.178,0.952,-2.441,-2.258,1.953
-0.275,0.181,0.949,-2.808,-1.221,1.038
-0.266,0.177,0.955,-1.465,-0.488,0.549
-0.263,0.179,0.956,-0.244,0.427,0.671
-0.262,0.182,0.942,1.282,0.916,1.221
-0.260,0.181,0.947,2.380,-0.977,1.404
-0.255,0.176,0.958,2.869,-2.686,1.343
-0.250,0.179,0.965,3.113,-2.686,1.587
-0.256,0.181,0.966,4.578,-2.319,2.197
-0.259,0.176,0.958,5.005,-1.953,2.136
-0.255,0.171,0.961,4.517,-2.380,2.014
-0.250,0.168,0.980,3.601,-3.174,1.953
-0.250,0.174,0.995,3.479,-3.296,2.258
-0.252,0.174,0.998,3.784,-3.052,2.502
-0.251,0.175,0.993,3.723,-2.991,2.563
-0.248,0.172,0.985,2.869,-3.174,2.502
-0.241,0.175,0.984,1.587,-3.418,2.808
-0.239,0.173,0.988,0.854,-3.052,3.662
-0.236,0.170,0.986,0.732,-1.038,4.761
-0.238,0.167,0.969,2.136,2.136,6.104
-0.243,0.168,0.940,3.113,5.127,7.385
-0.242,0.173,0.896,3.723,6.287,7.874
-0.239,0.169,0.869,4.333,4.761,7.568
