aX,aY,aZ,gX,gY,gZ
0.230,1.244,1.377,22.583,-31.982,-7.690
0.272,1.225,1.415,18.250,-39.063,5.310
0.335,1.179,1.385,4.150,-44.312,20.752
0.333,1.092,1.267,-11.108,-49.377,36.804
0.340,0.921,1.091,-21.790,-53.894,49.866
0.302,0.768,0.952,-25.269,-57.922,61.646
0.218,0.513,0.828,-21.240,-57.434,71.106
0.175,0.267,0.758,-13.245,-52.917,77.332
0.094,0.020,0.759,-2.747,-44.434,86.670
-0.004,-0.165,0.843,2.869,-35.828,97.229
-0.049,-0.390,0.918,0.854,-28.687,108.459
-0.096,-0.522,0.953,-5.493,-23.010,116.821
-0.096,-0.599,0.978,-14.526,-14.954,118.774
-0.114,-0.699,0.980,-24.475,-6.165,118.713
-0.138,-0.768,0.967,-32.410,0.488,119.080
-0.183,-0.846,0.949,-38.818,7.141,120.483
-0.230,-0.966,0.946,-41.077,12.695,118.286
-0.289,-1.109,0.960,-37.354,16.113,107.117
-0.361,-1.116,1.004,-29.053,17.517,85.388
-0.376,-1.156,1.037,-22.156,16.418,62.195
-0.376,-1.202,1.045,-18.555,14.221,38.452
-0.309,-1.173,1.041,-16.968,13.489,15.808
-0.244,-1.146,1.065,-14.160,13.489,1.953
-0.272,-1.160,1.032,-12.695,11.780,-7.507
-0.237,-1.096,1.005,-13.489,9.399,-14.343
-0.205,-1.024,0.979,-13.916,6.042,-24.597
-0.185,-0.952,0.941,-11.047,2.869,-36.072
-0.173,-0.904,0.904,-6.958,-1.160,-46.204
-0.150,-0.856,0.885,-2.625,-3.235,-55.237
-0.152,-0.828,0.888,1.587,-4.456,-63.293
-0.142,-0.812,0.926,5.737,-4.089,-70.618
-0.125,-0.799,0.981,7.996,-0.671,-77.271
-0.087,-0.768,1.050,8.728,4.089,-83.984
-0.064,-0.733,1.118,8.423,8.423,-91.003
-0.009,-0.670,1.169,6.836,12.878,-97.473
0.024,-0.615,1.183,5.371,16.357,-101.868
0.034,-0.543,1.176,4.333,17.151,-105.469
0.033,-0.460,1.179,4.944,17.700,-107.239
0.025,-0.378,1.140,4.944,16.724,-109.375
0.018,-0.272,1.118,4.272,13.000,-110.168
0.033,-0.139,1.111,1.953,9.705,-109.619
0.009,-0.021,1.047,-1.282,10.498,-109.680
0.016,0.172,1.073,-4.639,11.902,-112.854
0.056,0.301,1.070,-3.723,14.099,-114.502
0.105,0.453,1.066,0.793,18.188,-113.281
0.140,0.573,1.096,9.705,20.691,-110.352
0.195,0.617,1.160,22.522,17.944,-107.300
0.200,0.677,1.202,33.630,11.169,-101.624
0.224,0.698,1.253,40.649,3.296,-93.445
0.197,0.779,1.258,40.283,-3.540,-84.045
0.135,0.906,1.217,33.264,-9.460,-74.219
0.116,1.075,1.174,26.978,-14.648,-67.261
0.118,1.036,1.137,21.179,-20.874,-67.749
0.150,1.070,1.049,8.728,-21.423,-63.171
0.167,1.133,0.972,-2.625,-19.348,-51.270
0.174,1.146,0.912,-9.460,-20.935,-36.499
0.160,1.129,0.865,-11.536,-19.958,-20.752
0.135,1.102,0.838,-12.146,-16.296,-4.578
0.106,1.014,0.827,-11.292,-14.282,8.911
0.111,0.981,0.833,-11.292,-14.343,18.311
0.100,0.897,0.850,-11.292,-9.338,30.823
0.077,0.805,0.872,-12.085,-5.615,39.307
0.090,0.734,0.892,-12.085,-3.967,44.861
0.100,0.661,0.922,-11.536,-0.427,51.819
0.119,0.573,0.959,-11.047,3.967,59.875
0.132,0.496,0.987,-12.146,5.859,67.932
0.136,0.423,1.036,-12.634,7.019,73.303
0.134,0.351,1.058,-15.137,8.179,76.416
0.158,0.244,1.082,-18.677,11.902,78.979
0.120,0.132,1.113,-23.132,9.766,83.313
0.173,0.089,1.111,-23.499,9.949,88.196
0.023,-0.082,1.159,-18.555,0.305,84.473
-0.025,-0.253,1.137,-12.756,-12.878,71.289
-0.050,-0.377,1.133,-10.803,-8.850,69.580
-0.096,-0.470,1.099,-14.954,-1.099,73.853
-0.177,-0.510,1.084,-16.113,1.770,75.500
-0.239,-0.584,1.079,-14.709,1.526,70.801
-0.286,-0.641,1.071,-13.489,1.465,62.317
-0.332,-0.662,1.055,-11.353,1.770,53.650
-0.348,-0.644,1.023,-10.193,2.136,44.006
-0.359,-0.610,1.004,-8.057,3.296,33.142
-0.324,-0.553,1.002,-6.226,4.395,21.484
-0.280,-0.493,1.010,-3.418,5.432,10.925
-0.274,-0.439,1.030,-0.305,6.409,2.686
-0.241,-0.373,1.047,2.258,8.057,-3.601
-0.213,-0.299,1.061,3.845,10.620,-8.545
-0.198,-0.244,1.080,4.761,11.780,-12.512
-0.161,-0.198,1.094,5.066,11.658,-14.771
-0.145,-0.149,1.106,5.432,11.414,-14.099
-0.145,-0.114,1.128,5.737,10.986,-13.123
-0.138,-0.086,1.144,6.287,9.705,-12.268
-0.140,-0.052,1.151,6.104,8.179,-11.169
-0.152,-0.030,1.160,5.676,6.226,-10.864
-0.170,-0.021,1.148,5.005,4.639,-11.292
-0.170,0.004,1.138,2.441,3.418,-12.817
-0.158,0.027,1.119,0.610,2.869,-14.404
-0.148,0.055,1.103,0.244,2.502,-15.076
-0.140,0.074,1.090,-0.244,2.258,-15.015
-0.128,0.096,1.083,-0.916,2.075,-14.771
-0.117,0.105,1.077,-0.732,2.075,-14.038
-0.107,0.124,1.076,0.061,2.075,-12.695
-0.097,0.123,1.086,1.038,2.319,-10.925
-0.093,0.117,1.100,1.770,2.686,-8.850
-0.088,0.105,1.111,1.099,2.197,-6.470
-0.099,0.087,1.117,-0.305,1.038,-4.211
-0.103,0.072,1.115,-1.221,-0.488,-2.747
-0.107,0.061,1.108,-2.197,-2.319,-2.014
-0.116,0.050,1.099,-2.686,-2.991,-1.404
-0.125,0.040,1.091,-3.479,-3.052,-1.221
-0.129,0.031,1.088,-3.601,-2.991,-1.099
-0.128,0.026,1.082,-3.479,-2.319,-1.221
-0.126,0.019,1.079,-3.967,-1.099,-1.648
-0.122,0.021,1.079,-4.883,0.244,-2.197
-0.110,0.029,1.082,-4.822,1.160,-2.869
-0.109,0.028,1.080,-4.639,1.343,-3.662
-0.101,0.030,1.077,-4.456,0.854,-4.150
-0.096,0.035,1.073,-4.395,0.122,-4.639
-0.084,0.039,1.070,-3.967,0.122,-5.005
-0.080,0.043,1.068,-3.845,0.183,-5.066

0.225,1.470,1.068,13.977,-45.166,-22.522
0.240,1.593,1.042,8.301,-47.974,-15.442
0.233,1.630,1.034,5.554,-47.607,-24.902
0.270,1.630,1.083,3.052,-38.330,-61.279
0.458,1.629,1.100,-12.939,-24.292,-91.553
0.617,1.451,1.000,-22.034,-6.592,-102.661
0.723,1.264,0.915,-22.583,10.620,-98.267
0.731,1.187,0.867,-29.541,5.493,-73.547
0.721,0.854,0.867,-31.189,-7.874,-53.650
0.671,0.607,0.807,-25.635,-5.310,-38.391
0.409,0.331,0.740,-21.423,-7.019,-6.592
0.207,0.161,0.719,-15.808,-13.550,27.039
0.161,-0.053,0.629,-12.085,-13.062,35.217
0.260,-0.127,0.568,-9.888,-7.446,57.495
0.256,-0.204,0.622,1.038,-2.014,91.553
0.112,-0.355,0.779,16.907,8.850,124.268
-0.144,-0.600,0.990,28.931,20.447,148.560
-0.437,-0.872,1.254,32.227,31.555,161.194
-0.708,-1.051,1.472,25.940,50.171,162.109
-0.820,-1.167,1.562,19.470,80.322,155.090
