aX,aY,aZ,gX,gY,gZ
-0.406,-0.234,2.276,10.193,18.799,3.967
-0.437,-0.239,2.342,3.784,11.902,-7.324
-0.462,-0.237,2.383,-5.127,5.615,-23.315
-0.354,-0.168,2.254,-10.071,-1.038,-26.978
-0.217,-0.088,2.089,-12.695,-15.869,-28.381
-0.165,-0.039,1.964,-10.803,-34.058,-37.903
-0.059,-0.027,1.809,-1.892,-41.687,-40.039
0.015,-0.003,1.696,9.216,-43.762,-28.381
0.072,-0.033,1.591,8.972,-51.453,-19.409
0.093,-0.029,1.470,-6.592,-61.523,-17.456
0.113,0.002,1.266,-39.551,-67.017,-15.564
0.126,0.083,1.062,-76.172,-65.735,-12.756
0.059,0.108,0.721,-91.309,-44.495,-14.465
-0.053,0.133,0.429,-96.191,-19.897,-24.170
-0.096,0.104,0.211,-83.740,-3.296,-37.415
-0.057,0.208,0.056,-61.218,-4.761,-31.616
-0.058,0.160,-0.016,-41.077,-10.132,1.465
-0.025,0.165,-0.008,-33.020,-18.555,1.892
-0.002,0.183,0.010,-26.123,-25.452,4.883
0.029,0.085,-0.015,-11.963,-28.564,7.935
0.066,0.046,-0.025,-4.517,-29.907,11.292
0.124,0.000,0.008,-6.470,-27.100,15.198
0.165,-0.052,0.041,-11.292,-20.630,19.470
0.202,-0.098,0.109,-14.465,-17.151,23.987
0.240,-0.138,0.180,-16.663,-13.672,26.245
0.268,-0.161,0.180,-17.883,-10.193,25.269
0.287,-0.181,0.203,-12.573,-7.263,21.729
0.284,-0.201,0.235,-4.150,-6.226,16.357
0.285,-0.184,0.269,-1.038,-7.996,8.667
0.266,-0.172,0.260,5.493,-7.324,-0.732
0.229,-0.152,0.256,8.118,-7.996,-7.263
0.220,-0.139,0.283,8.667,-9.094,-12.329
0.189,-0.090,0.277,2.625,-10.437,-18.616
0.178,-0.087,0.222,-2.869,-11.414,-22.461
0.140,-0.024,0.221,-2.930,-13.123,-29.907
0.169,-0.048,0.258,-0.305,-16.602,-40.771
0.129,-0.035,0.275,4.333,-20.813,-52.795
0.135,-0.008,0.280,3.235,-25.574,-61.646
0.129,0.079,0.319,-6.104,-34.363,-74.036
0.168,0.118,0.396,-11.108,-42.236,-80.017
0.205,0.150,0.404,-8.423,-44.983,-89.417
0.206,0.162,0.508,-13.733,-45.715,-103.088
0.085,0.250,1.061,-14.221,-26.123,-112.061
0.049,-0.052,0.964,54.871,22.339,-106.995
-0.090,-0.071,1.148,55.542,36.682,-101.563
-0.135,-0.050,1.319,39.551,53.467,-87.158
-0.184,-0.053,1.346,26.062,72.327,-85.510
-0.216,-0.028,1.460,10.986,89.111,-77.148
-0.213,0.038,1.528,-0.977,99.548,-62.683
-0.225,0.100,1.494,-0.977,96.619,-50.842
-0.117,0.172,1.518,-5.066,103.394,-36.926
-0.076,0.151,1.498,4.333,96.497,-31.494
-0.068,0.155,1.474,13.855,75.317,-19.165
-0.063,0.138,1.481,18.005,58.960,-8.423
-0.063,0.090,1.504,18.311,51.147,-3.418
-0.026,0.118,1.627,8.606,46.448,0.488
-0.018,0.065,1.676,11.108,39.490,3.784
-0.041,0.059,1.736,8.484,31.128,8.545
-0.051,0.047,1.745,-6.714,21.729,13.489
-0.073,0.040,1.744,-12.085,15.137,17.334
-0.118,0.027,1.742,-5.615,13.367,17.456
-0.136,0.014,1.710,-5.249,15.259,15.442
-0.133,0.015,1.608,-9.094,15.564,13.428
